,PERSON_AGE,VEHICLE_ID,COLLISION_ID,PERSON_SEX_F,PERSON_SEX_M,PERSON_SEX_U,PERSON_TYPE_Bicyclist,PERSON_TYPE_Occupant,PERSON_TYPE_Other Motorized,PERSON_TYPE_Pedestrian,PED_LOCATION_Does Not Apply,PED_LOCATION_NAP,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian at Intersection,PED_LOCATION_Unknown,EJECTION_Ejected,EJECTION_NAP,EJECTION_Not Ejected,EJECTION_Partially Ejected,EJECTION_Trapped,PED_ROLE_Driver,PED_ROLE_In-Line Skater,PED_ROLE_Other,PED_ROLE_Passenger,PED_ROLE_Pedestrian,SAFETY_EQUIPMENT,BODILY_INJURY,CONTRIBUTING_FACTOR_2,CONTRIBUTING_FACTOR_1,COMPLAINT,EMOTIONAL_STATUS,POSITION_IN_VEHICLE,PED_ACTION,PERSON_ID,PERSON_INJURY
129,32.0,20051231.0,4434120,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,6,5,36,37,8,1,1,8,25317,1
125,121.0,19929465.0,4428754,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,14,0,7,8,27912,1
221,32.0,20083131.0,4466536,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7,5,36,37,5,0,7,8,427,1
378,58.0,20056645.0,4452150,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,1,36,37,2,1,1,8,17737,0
328,64.0,0.0,4406091,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,1,36,28,2,1,7,6,16949,0
383,32.0,19990367.0,4413667,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,1,36,37,2,1,1,8,3537,0
206,44.0,20071922.0,4461286,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,7,8,40394,1
483,56.0,19829164.0,4383686,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,9,36,37,2,1,1,8,22983,0
110,16.0,20016603.0,4423679,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,6,7,8,14966,1
43,69.0,19958763.0,4401549,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,2,36,37,2,6,1,8,42390,1
46,64.0,0.0,4404422,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,8,4,7,1,23950,1
288,23.0,19988905.0,4431888,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,9,10,36,37,8,1,4,8,18145,0
262,25.0,19944588.0,4421680,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,11,10,36,37,2,1,7,8,7476,0
37,30.0,19860823.0,4397902,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,3,8,36,37,16,0,2,8,36883,1
299,34.0,20068447.0,4460053,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11,5,36,37,2,1,6,8,39057,0
346,34.0,20049872.0,4451726,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11,10,36,37,2,1,2,8,26174,0
131,77.0,20012611.0,4432515,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,3,5,36,37,8,0,2,8,14965,1
249,28.0,20106827.0,4477267,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,15,5,36,37,8,0,1,8,1674,1
444,21.0,20033919.0,4444493,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,15,8,36,37,2,1,1,8,20625,0
143,33.0,20016595.0,4436428,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,15,8,36,37,16,0,1,8,44770,1
264,92.0,20016546.0,4436674,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,2,4,36,37,2,1,1,8,11278,0
459,42.0,20092967.0,4471135,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,2,36,37,2,1,1,8,43761,0
310,54.0,0.0,4440327,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,11,36,37,2,1,7,9,6707,0
341,23.0,20014629.0,4435759,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,10,11,36,37,12,1,4,8,37454,0
109,65.0,0.0,4425001,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,8,6,7,1,25288,1
412,31.0,19982919.0,4422860,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,11,36,37,2,1,1,8,10439,0
13,84.0,0.0,4387714,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,10,36,28,12,0,7,0,12988,1
462,23.0,19864262.0,4399522,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,10,36,37,12,1,1,8,39184,0
248,33.0,0.0,4476909,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,0,7,3,39354,1
265,37.0,0.0,4454882,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,9,26,28,12,1,7,0,21324,0
198,73.0,0.0,4456872,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,5,6,7,3,2486,1
308,30.0,20002358.0,4421511,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,2,36,37,12,7,1,8,35953,0
463,64.0,20073636.0,4462343,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,9,13,36,37,17,1,1,8,19886,0
472,40.0,20091132.0,4470244,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11,10,36,37,4,1,9,8,15064,0
16,42.0,19838498.0,4387784,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,11,5,36,37,8,0,1,8,43620,1
498,32.0,19961495.0,4405721,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,1,36,37,2,1,1,8,11758,0
478,20.0,19824596.0,4381064,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,4,36,37,9,1,1,8,17056,0
241,2.0,0.0,4472716,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,5,36,37,8,0,7,15,42028,1
60,45.0,19982194.0,4408694,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,8,36,37,14,6,1,8,33698,1
170,54.0,0.0,4445446,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,8,0,7,10,15795,1
429,60.0,20009007.0,4410653,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,9,0,36,37,2,1,1,8,23164,0
108,44.0,0.0,4423067,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,26,28,5,0,7,2,9099,1
98,25.0,19973415.0,4420310,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,11,8,36,37,5,0,1,8,12384,1
376,27.0,19980300.0,4417291,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,6,5,36,37,2,1,1,8,14895,0
